"Kallesignal","Type","QTH","Freq TX","Freq RX","Gruppe","Lokator","Info","status"
"LD3GD","APRS","Gravarhovda/Dagali","144.8000","144.8000","Hallingdal","JP40FK","",""
"LD3GE","APRS","Geilotoppen","144.8000","144.8000","Hallingdal","JP40CM","",""
"LD3GK","APRS","Storkollen/Kragerø","144.8000","144.8000","Grenland","JO48QU","",""
"LD3GL","DMR Repeater","Vealøs/Skien","434.5125","432.5125","Grenland","JO49UF","ID:242701",""
"LD3GO","APRS","Lisbetnuten/Gol","144.8000","144.8000","Hallingdal","JP40LR","",""
"LD3GT","APRS","Gaustatoppen","144.8000","144.8000","Tønsberg","JO49HU","",""
"LD3HN","APRS","Nesbyen","144.8000","144.8000","Hallingdal","JP40MM","",""
"LD3HR","DMR Repeater","Geilo","434.6500","432.6500","Hallingdal","JP40CM","ID: 242635",""
"LD3HS","APRS","Sunhellerskarvet","144.8000","144.8000","Hallingdal","JP30TR","",""
"LD3HV","APRS","Hvittingen/Sande","144.8000","144.8000","Tønsberg","JO59CN","",""
"LD3JS","APRS","Jordstøyp","144.8000","144.8000","Sandefjord","JO49XE","",""
"LD3KF","APRS","Kjerringfjell","144.8000","144.8000","Sandefjord","JO59CA","",""
"LD3KJ","APRS","Kvelde/Jordstøyp","144.8000","144.8000","Larvik","JO49XE","",""
"LD3KR","DMR Repeater","Haus Sachsen","434.8375","432.8375","Kongsberg","JO49SQ","ID:242606",""
"LD3KS","APRS","Haus Sachsen","144.8000","144.8000","Kongsberg","JO49SQ","",""
"LD3LL","APRS LoRA","Lifjell/Bø","433.7750","433.7750","Grenland","JO49ML","",""
"LD3NF","APRS","Norefjellstua","144.8000","144.8000","Ringerike","JP40SF","QRT","QRT"
"LD3NM-C","FM/DSTAR Repeater","Norefjellstua","145.5875","144.9875","Modum","JP40SF","123",""
"LD3RI","FM DMR Repeater","Småstein/Skogstad","434.8125","432.8125","Ringerike","JP50EE","74.4/ID:242666",""
"LD3SA","APRS","Sollihøgda","144.8000","144.8000","Ringerike","JO59EX","",""
"LD3SH","APRS","Hvittingen/Sande","144.8000","144.8000","Tønsberg","JO59CN","",""
"LD3SK","APRS","Høglikollen","144.8000","144.8000","Grenland","JO49TG","",""
"LD3ST","DMR Repeater","Frodeåsen","434.5500","432.5500","Tønsberg","JO59DE","ID:242801",""
"LD3TB","APRS","Bergåsen","144.8000","144.8000","Tønsberg","JO59CI","",""
"LD3TD","DMR Repeater","Vetan/Nøtterøy","434.5625","432.5625","Tønsberg","JO59FE","",""
"LD3TE","APRS","Eirefjell/Tokke","144.8000","144.8000","Grenland","JO49BL","",""
"LD3TO","APRS","Tosevikseter","144.8000","144.8000","Ringerike","JP40XJ","",""
"LD3VL","APRS LoRA","Vealøs/Skien","433.7750","433.7750","Grenland","JO49UF","",""
"LD3VM","APRS","Tomtebo/Vikersund","144.8000","144.8000","Modum","JO49XX","",""
"LD4AA","APRS","Tveitheia/Åmli","144.8000","144.8000","Arendal","JO48GS","",""
"LD4AI","APRS","Fjæreheia/Grimstad","144.8000","144.8000","Arendal","JO48GJ","",""
"LD4AK","APRS","Kilsund","144.8000","144.8000","Arendal","JO48LN","",""
"LD4AR-B","DSTAR Repeater","Kilsund","434.7750","432.7750","Arendal","JO48LN","",""
"LD4AR-C","DSTAR Repeater","Kilsund","145.7375","145.1375","Arendal","JO48LN","",""
"LD4AT","APRS","Vardåsen/Tromøya","144.8000","144.8000","Arendal","JO48JK","",""
"LD4BO","APRS","Flakkheia/Birkeland","144.8000","144.8000","Arendal","JO48CI","",""
"LD4EG","APRS","Egersund/Gaupelemfjell","144.8000","144.8000","Jæren","JO38DO","",""
"LD4EI","APRS","Egersund","144.8000","144.8000","Jæren","JO28XK","",""
"LD4ER","DMR Repeater","Egersund/Gaupelemfjell","434.6250","432.6250","Jæren","JO38DO","","Planlagt"
"LD4FF","APRS","Flekkefjord/Storestø","144.8000","144.8000","Mandal","JO38HH","QRT","QRT"
"LD4FH-B","DMR/DSTAR","Fjæreheia/Grimstad","434.7000","432.7000","Arendal","JO48GJ","ID:242702",""
"LD4GA","DMR Repeater","Egersund/Gaupelemfjell","145.5875","144.9875","Jæren","JO38DO","ID: 242390",""
"LD4GF","APRS","Fjæreheia/Grimstad","144.8000","144.8000","Arendal","JO48GJ","",""
"LD4GJ-A","DSTAR Repeater","Ålgård","1297.0000","1291.0000","Jæren","JO28WS","QRT ID: 242333?","QRT"
"LD4GJ-B","DSTAR Repeater","Ålgård","434.9500","432.9500","Jæren","JO28WS","ID:242333",""
"LD4GJ-C","DSTAR Repeater","Ålgård","145.7875","145.1875","Jæren","JO28WS","",""
"LD4GL","Winlink Packet","Egersund/Gaupelemfjell","433.7250","433.7250","Jæren","JO38DO","",""
"LD4GS","APRS","Stormyrheia","144.8000","144.8000","Arendal","JO48FK","",""
"LD4HS","Winlink Packet","Karmøy/Sandve","144.9250","144.9250","Haugaland","JO29OE","",""
"LD4KA","APRS","Kristiansand/Slettheia","144.8000","144.8000","Kristiansand","JO38XD","",""
"LD4KD","APRS","Setesdal/Hovassfjell","144.8000","144.8000","Kristiansand","","",""
"LD4KH","DMR Repeater","Kvinesheia/Haugeheia","145.7625","145.1625","Sandnes","JO38NH","ID:242710",""
"LD4KO","DMR Repeater","Redalshei","434.6000","432.6000","Kristiansand","JO38XE","QRT","QRT"
"LD4KS","Packet","Karmøy/Sandve","144.9250","144.9250","Haugaland","JO29OE","QRT","QRT"
"LD4LA-B","DMR/DSTAR","Voreknuten","434.8625","432.8625","Sandnes","JO38GI","ID:242703",""
"LD4LF","APRS","Bonjeåsen/Justøy","144.8000","144.8000","Arendal","JO48EE","",""
"LD4LI","DMR Repeater","Stavanger/Lifjell","434.9750","432.9750","Sandnes","JO28VW","ID: 242310",""
"LD4LK-C","DSTAR Repeater","Liknes/Kvinesheia","145.6875","145.0875","Sandnes","JO38NH","",""
"LD4NB","APRS","Nærbø/Våland","144.8000","144.8000","Jæren","JO28UP","",""
"LD4RH-B","DSTAR Repeater","Heiberg/Søndeled","434.5375","432.5375","Arendal","JO48NS","",""
"LD4RP","APRS","Puntsnes","144.8000","144.8000","Ryfylke","JO39","",""
"LD4SH","APRS","Søndeled/Heiberget","144.8000","144.8000","Arendal","JO48NS","",""
"LD4SJ","APRS","Jæren/Sandved","144.8000","144.8000","Jæren","JO28UU","",""
"LD4ST","APRS","Jørpeland","144.8000","144.8000","Jæren","JO29XB","",""
"LD4VF-B","DSTAR Repeater","Stavanger/Lifjell","434.5500","432.5500","Sandnes","JO28VW","",""
"LD4VK","APRS","Voreknuten","144.8000","144.8000","Sandnes","JO38DI","",""
"LD4VS","APRS","Vegårshei/Slettåsheia","144.8000","144.8000","Arendal","JO48JQ","",""
"LD5AG","APRS","Åsane/Geitanuken","144.8000","144.8000","Bergen","JP20PL","",""
"LD5AV","APRS","Karmøy/Steinsfjellet","144.8000","144.8000","Haugaland","JO29PK","","Test"
"LD5BE","APRS","Bergen/Bildefjellet","144.8000","144.8000","Bergen","JP20NI","",""
